habitantes	ingresos	analfabetismo	esp_vida	asesinatos	universitarios	heladas	area
25715	3804	2.1	69.05	15.1	41.3	66	50708
22466	6495	1.5	69.31	11.3	66.7	199	566432
24314	4710	1.8	70.55	7.8	58.1	63	113417
24213	3558	1.9	70.66	10.1	39.9	114	51945
43302	5294	1.1	71.71	10.3	62.6	70	156361
25206	5528	1.1	72.48	3.1	56.0	191	4862
22686	4989	0.9	70.06	6.2	54.6	156	1982
30385	4995	1.3	70.66	10.7	52.6	65	54090
27040	4271	2.0	68.54	13.9	40.6	115	58073
22978	5143	1.9	73.6	6.2	61.9	56	6425
22924	4299	0.6	71.87	5.3	59.5	183	82677
33309	5287	0.9	70.14	10.3	52.6	185	55748
27426	4638	0.7	70.88	7.1	52.9	181	36097
24975	4808	0.5	72.56	2.3	59.0	200	55941
24395	4849	0.6	72.58	4.5	59.9	175	81787
25503	3892	1.6	70.1	10.6	38.5	157	39650
25923	3725	2.8	68.76	13.2	42.2	75	44930
23176	3874	0.7	70.39	2.7	54.7	225	30920
26241	5479	0.9	70.22	8.5	52.3	166	9891
27934	4935	1.1	71.83	3.3	58.5	169	7826
31232	4931	0.9	70.63	11.1	52.8	192	56817
26043	4855	0.6	72.96	2.3	57.6	228	79289
24464	3278	2.4	68.09	12.5	41.0	119	47296
26891	4434	0.8	70.69	9.3	48.8	178	68995
22871	4527	0.6	70.56	5.0	59.2	226	145587
23670	4688	0.6	72.6	2.9	59.3	211	76483
22717	5329	0.5	69.03	11.5	65.2	261	109889
22940	4461	0.7	71.23	3.3	57.6	248	9027
23274	3781	2.2	70.32	9.7	55.2	196	121412
40207	5083	1.4	70.55	10.9	52.7	159	47831
27573	4055	1.8	69.21	11.1	38.5	158	48798
22770	5267	0.8	72.78	1.4	50.3	265	69273
24420	4840	0.6	72.13	4.2	60.0	126	96184
33997	4629	1.0	70.43	6.1	50.2	209	44966
23069	4738	1.3	71.9	2.4	46.4	211	1049
24955	3815	2.3	67.96	11.6	37.8	150	30225
22821	4347	0.5	72.08	1.7	53.3	258	75955
26314	4001	1.7	70.11	11.0	41.8	157	41328
34379	4368	2.2	70.9	12.2	47.4	123	262134
23346	4202	0.6	72.9	4.5	67.3	226	82096
22616	4087	0.6	71.64	5.5	57.1	258	9267
27126	4881	1.4	70.08	9.5	47.8	176	39780
25705	5044	0.6	71.72	4.3	63.5	124	66570
23946	3797	1.4	69.48	6.7	41.6	193	24070
26737	4648	0.7	72.48	3.0	54.5	243	54464
